,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__learning_rate,param_optimizer,param_model__n_hidden_layers,param_model__layer_size,param_model__dropout_rate,param_fit__batch_size,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce
1,77.25656962394714,12.31142691720283,0.7777390480041504,0.0012460841033197826,0.1,adam,5,400,0.3,32,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,8,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,4
31,41.988286316394806,0.18914996214115218,1.10613614320755,0.4006814256340504,0.0001,sgd,5,400,0.3,64,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,4,2.2449113209494174,2.2449113209494174,2.2449113209494174,2.2449113209494174,2.2449113209494174,0.0,2
33,119.70318919420242,0.20496781006272424,1.1239777207374573,0.0033334952168501005,0.0001,sgd,6,3200,0.3,64,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,4,2.2449113209494174,2.2449113209494174,2.2449113209494174,2.2449113209494174,2.2449113209494174,0.0,2
54,163.14402371644974,52.00503187323911,0.7721478343009949,0.025837309612153334,0.01,adam,3,800,0,16,0.8607210626185958,0.8789373814041745,0.8607210626185958,0.8607210626185958,0.8652751423149906,0.007887897415873434,4,0.0,0.19959128065395096,0.0,0.0,0.04989782016348774,0.08642555971009555,4,2.244911320949418,1.9512989541817867,2.244911320949418,2.244911320949418,2.17150822925751,0.12713788424302122,7
23,507.5082365870476,43.603705925918334,1.0943859815597534,0.005216606036231786,0.001,adam,6,3200,0.3,32,0.9588235294117647,0.8803605313092979,0.955977229601518,0.9563567362428842,0.9378795066413663,0.033226571456996846,4,0.8807901907356949,0.20844686648501362,0.7465940054495913,0.8051771117166212,0.6602520435967303,0.2651524100185557,4,0.6636863874053404,1.9283604880275715,0.7095633197052311,0.703446395401562,1.0012641476349262,0.5355490535728876,3
4,70.96878272294998,8.196274842582973,0.814365029335022,0.0061618773299529075,0.01,sgd,6,1600,0,64,0.9475332068311195,0.9703984819734346,0.9721062618595825,0.9487666034155597,0.9597011385199241,0.011575219885238597,6,0.8848773841961853,0.8869209809264306,0.8562670299727521,0.9066757493188011,0.8836852861035422,0.017973682058464918,1,0.8456648855675637,0.47712019601289324,0.4495940366248088,0.8257848815682794,0.6495409999433863,0.1865705001406257,5
46,216.38315975666046,14.989474098433702,0.790127158164978,0.020666552035561107,0.01,sgd,6,800,0.2,16,0.9719165085388994,0.9658444022770398,0.9501897533206831,0.9714421252371916,0.9648481973434535,0.008793510585395898,7,0.8705722070844687,0.8732970027247956,0.8876021798365122,0.8773841961852861,0.8772138964577656,0.006469148471806044,2,0.4526524987798395,0.5505232877074603,0.8028464154120167,0.4602986541652936,0.5665802140161526,0.14173464384882406,4
9,114.14800709486008,9.085507129937316,0.9116532802581787,0.007732122310327694,1e-05,adam,5,3200,0.3,64,0.9729601518026565,0.9666982922201138,0.9684060721062618,0.951707779886148,0.964943074003795,0.007976836679696508,5,0.8814713896457765,0.837874659400545,0.8487738419618529,0.8821525885558583,0.8625681198910081,0.019627366831078526,3,0.43583095693373797,0.5367602080119449,0.5092340486269068,0.7783787181797621,0.5650509829380879,0.12857141580239279,6
22,137.02806097269058,27.386927976860903,0.9666845202445984,0.012818504336777352,0.1,sgd,4,3200,0,64,0.9632827324478178,0.969449715370019,0.9635673624288426,0.9646110056925996,0.9652277039848198,0.002487234673419047,3,0.888283378746594,0.8576294277929155,0.8658038147138964,0.8337874659400545,0.8613760217983651,0.01948574215311691,2,0.5918125267873148,0.49241250678065546,0.587224833554694,0.5704032917054463,0.5604632897070276,0.040089486125564816,4
36,403.13439774513245,22.210492787709573,0.8996177911758423,0.005022657683462881,0.001,sgd,5,3200,0.3,32,0.967931688804554,0.9635673624288426,0.9655597722960152,0.9639468690702088,0.9652514231499052,0.0017187804567829203,4,0.8985013623978202,0.8950953678474114,0.8869209809264306,0.896457765667575,0.8942438692098093,0.004398219199640639,1,0.5168802040155072,0.5872248335568414,0.555110980939432,0.5811079092489774,0.5600809819401894,0.02770346763440056,2
44,106.45482462644577,14.651081131110645,0.7689644694328308,0.0030699427110893202,0.1,sgd,3,3200,0.1,32,0.9648007590132828,0.9598671726755218,0.9692599620493358,0.9692599620493358,0.9657969639468691,0.0038774850259809175,6,0.8092643051771117,0.784741144414169,0.8453678474114441,0.8392370572207084,0.8196525885558583,0.02434928805175686,7,0.5673448295496667,0.6468648455513984,0.4954709689337385,0.49547096893328907,0.5512879032420231,0.06249767414644254,5
17,188.88823300600052,29.01507409116709,0.7895725965499878,0.02341002567480838,0.01,sgd,5,1600,0.3,16,0.9715370018975332,0.9603415559772296,0.9652751423149906,0.9681214421252372,0.9663187855787477,0.0041017013892253006,8,0.8814713896457765,0.864441416893733,0.8658038147138964,0.8787465940054496,0.8726158038147139,0.007570201216244161,3,0.45876942308860225,0.6392186901722866,0.5596986741688568,0.5138217418600769,0.5428771323224556,0.06611161491468476,3
49,57.94014799594879,3.3877865271059253,0.7842433452606201,0.014374017771807081,0.1,sgd,4,800,0.3,64,0.967931688804554,0.9676470588235294,0.9689753320683112,0.9631878557874762,0.9669354838709676,0.0022194853065065838,5,0.8692098092643051,0.8562670299727521,0.8358310626702997,0.8351498637602179,0.8491144414168937,0.014373942674393184,6,0.5168802040133598,0.5214678972433837,0.5000586621640122,0.5933417578604104,0.5329371303202916,0.03577387624497323,6
37,1245.7907186746597,199.98162287936677,0.7896615266799927,0.004360697494573376,0.0001,sgd,3,3200,0,16,0.9667931688804554,0.969639468690702,0.9698292220113852,0.9637571157495256,0.9675047438330171,0.002475444615872819,3,0.8242506811989101,0.8194822888283378,0.8256130790190735,0.8160762942779292,0.8213555858310626,0.0038042077492657814,4,0.5352309769339553,0.489354044623877,0.48629558247034443,0.5841663713970666,0.5237617438563108,0.03989945285087151,3
20,164.13348627090454,36.55911417641119,0.8944350481033325,0.03655022268481438,0.001,adam,5,1600,0.3,64,0.969639468690702,0.9664136622390892,0.9672675521821632,0.9675521821631878,0.9677182163187856,0.001185721038894668,2,0.8501362397820164,0.832425068119891,0.8038147138964578,0.8821525885558583,0.8421321525885558,0.02840842438264557,3,0.4893540446261242,0.5413479012425183,0.5275848215475022,0.5229971283222724,0.5203209739346043,0.019111565001712585,5
12,212.46102011203766,44.00483053067137,0.954147219657898,0.010121707988873404,1e-05,adam,6,3200,0.2,32,0.9642314990512334,0.9739089184060721,0.9655597722960152,0.9683111954459203,0.9680028462998101,0.003713772932532298,7,0.8671662125340599,0.8916893732970027,0.8562670299727521,0.8794277929155313,0.8736376021798364,0.013257152899202011,2,0.5765202160158571,0.4205386461645775,0.5551109809371847,0.510763279706145,0.5157332807059412,0.059858946982208415,4
3,52.45323896408081,5.648984568482578,0.7779349684715271,0.00702054040887137,0.1,sgd,5,800,0,64,0.9686907020872866,0.9639468690702088,0.9723908918406072,0.9681214421252372,0.968287476280835,0.002994538720944133,4,0.8773841961852861,0.8474114441416893,0.8480926430517711,0.8344686648501363,0.8518392370572208,0.015715629421061736,4,0.5046463553980314,0.5811079092453818,0.44500634339323664,0.5138217418568308,0.5111455874733701,0.04826626123669411,7
11,158.54879581928253,23.406210822884997,1.0027669072151184,0.15902018938024826,0.1,sgd,5,3200,0.2,32,0.9725806451612903,0.9629032258064516,0.9704933586337761,0.9675521821631878,0.9683823529411766,0.0036329058712950653,6,0.8583106267029973,0.8841961852861036,0.8528610354223434,0.8896457765667575,0.8712534059945505,0.015902748678377026,5,0.44194788124000384,0.597929451094979,0.4755909649334054,0.5229971283228217,0.5096163563978025,0.05855552396398849,5
45,403.12164890766144,20.464783403635483,0.7558913826942444,0.02032750375460824,0.001,sgd,3,3200,0.3,32,0.9730550284629981,0.9620493358633776,0.9704933586337761,0.9680265654648956,0.9684060721062617,0.00407804123346061,4,0.8957765667574932,0.8903269754768393,0.8705722070844687,0.9019073569482289,0.8896457765667575,0.011749447078106483,1,0.4343017258577957,0.6116925307883472,0.4755909649347037,0.5153509729387659,0.5092340486299031,0.06573025826390391,7
14,54.09402644634247,5.6869467188871985,0.7566431760787964,0.01124682147459611,0.01,sgd,4,400,0,64,0.9652751423149906,0.971157495256167,0.9689753320683112,0.9684060721062618,0.9684535104364326,0.0021028615046775534,5,0.8392370572207084,0.8664850136239782,0.8719346049046321,0.8521798365122616,0.8574591280653951,0.01275657502047175,6,0.5596986741669091,0.4648863473954674,0.500058662166659,0.5092340486271565,0.508469433089048,0.03389412266314627,6
16,90.97133469581604,23.660254231411066,0.7630371451377869,0.0034473869424142124,0.001,adam,4,1600,0.2,64,0.9708728652751423,0.9666982922201138,0.9663187855787476,0.971157495256167,0.9687618595825427,0.002259553947255419,4,0.8862397820163488,0.8228882833787466,0.7901907356948229,0.8821525885558583,0.8453678474114441,0.04053848996909544,7,0.4694740406278885,0.5367602080108462,0.542877132316413,0.46488634739661605,0.5034994320879409,0.03641970642271284,7
38,1698.007679760456,2.7910361534098223,0.7821158170700073,0.0034396315760473802,0.0001,sgd,5,1600,0.3,16,0.9698292220113852,0.9674573055028463,0.9721062618595825,0.966034155597723,0.9688567362428842,0.00231465511459684,2,0.888283378746594,0.8569482288828338,0.864441416893733,0.8807901907356949,0.8726158038147139,0.012495869433136327,2,0.48629558247493887,0.5245263593974155,0.4495940366254081,0.5474648255540278,0.5019702010129475,0.03730783230590363,4
69,126.6135927438736,27.891376957195106,0.8341401219367981,0.01446720012148271,0.1,sgd,5,1600,0.1,32,0.9712523719165085,0.9663187855787476,0.9681214421252372,0.9697343453510436,0.9688567362428843,0.0018365129349192763,8,0.888283378746594,0.8576294277929155,0.8276566757493188,0.8712534059945504,0.8612057220708447,0.02220632698763286,4,0.4633571163200745,0.542877132321357,0.5138217418563316,0.4878248135506814,0.5019702010121111,0.02960109096549465,3
39,49.228175938129425,1.7295682633262666,0.7758396863937378,0.006032029575144908,1e-05,adam,5,800,0,64,0.970303605313093,0.9700189753320683,0.971157495256167,0.9669829222011386,0.9696157495256168,0.0015767447679905225,1,0.8623978201634878,0.8181198910081744,0.8317438692098093,0.8331062670299727,0.836341961852861,0.016144378240684806,3,0.47864942708808644,0.48323712031581323,0.46488634739292056,0.5321725147806224,0.4897363523943607,0.025414122830635433,5
5,110.80479246377945,26.262980975658632,0.7721545696258545,0.004206991853290969,0.001,adam,5,400,0.3,32,0.9698292220113852,0.9667931688804554,0.9700189753320683,0.9731499051233397,0.969947817836812,0.0022485718460460383,3,0.8235694822888283,0.8262942779291553,0.8079019073569482,0.8583106267029973,0.8290190735694822,0.01831019081160166,6,0.48629558247019466,0.535230976934105,0.48323712031506416,0.4327724947780581,0.4843840436243555,0.03624269586812081,8
10,113.34701132774353,16.936992933472403,0.8023875951766968,0.006091429155017096,0.001,adam,3,3200,0.2,64,0.9710626185958254,0.9666982922201138,0.9689753320683112,0.9731499051233397,0.9699715370018975,0.0023978656463188113,3,0.8365122615803815,0.8051771117166212,0.8344686648501363,0.8480926430517711,0.8310626702997275,0.015822301974573502,8,0.4664155784702611,0.5367602080095478,0.5000586621639123,0.432772494777309,0.4840017358552576,0.03864902760590823,8
2,152.88355141878128,11.437839249354395,0.7648579478263855,0.0245789006394685,0.001,adam,3,800,0.3,16,0.9730550284629981,0.9667931688804554,0.968595825426945,0.9714421252371916,0.9699715370018975,0.002432342266279732,2,0.8610354223433242,0.8440054495912807,0.8140326975476839,0.8290190735694822,0.8370231607629427,0.017449698236213736,5,0.43430172585524884,0.5352309769354034,0.506175586470378,0.460298654161748,0.48400173585569456,0.039204725061271435,9
65,194.58222633600235,8.520842705423554,0.8214208483695984,0.0064770994518387635,0.001,sgd,5,1600,0,64,0.9715370018975332,0.9681214421252372,0.9702087286527514,0.9715370018975332,0.9703510436432639,0.0013968151673942571,7,0.8542234332425068,0.8630790190735694,0.8433242506811989,0.8637602179836512,0.8560967302452316,0.008278388693962285,5,0.45876942308660473,0.5138217418589284,0.48017865816367905,0.45876942308730395,0.477884811549129,0.02251400033591398,4
28,394.79689490795135,27.089307605646805,1.1332537531852722,0.024903325367116497,0.001,sgd,6,1600,0.2,16,0.9703984819734346,0.9691650853889943,0.9709677419354839,0.9715370018975332,0.9705170777988614,0.0008782499327122393,1,0.8950953678474114,0.8746594005449592,0.8603542234332425,0.8944141689373297,0.8811307901907357,0.01453446069029417,1,0.4771201960134926,0.4970002000128768,0.46794480954899986,0.4587694230895511,0.47520865716623006,0.014155716333305238,6
64,193.1257136464119,10.750542339275565,0.8388330936431885,0.019306352963031036,0.0001,adam,6,400,0.2,16,0.972011385199241,0.9701138519924098,0.9705882352941176,0.9699240986717268,0.9706593927893739,0.00081719322471311,6,0.8712534059945504,0.8310626702997275,0.8474114441416893,0.8528610354223434,0.8506471389645776,0.01434869952563309,7,0.4511232677028985,0.48170788923977115,0.4740617338560149,0.4847663513953511,0.4729148105485089,0.013171598479118564,5
66,363.1914712190628,33.22594695829893,0.8055298328399658,0.01997662346767099,0.001,sgd,5,400,0.3,16,0.972011385199241,0.9698292220113852,0.9700189753320683,0.9708728652751423,0.9706831119544592,0.000861760062836112,5,0.8835149863760218,0.8651226158038147,0.8514986376021798,0.8896457765667575,0.8724455040871935,0.015089555326994939,3,0.4511232677037973,0.48629558247324106,0.4832371203182602,0.4694740406281383,0.47253250278085923,0.013889931034434724,6
67,1663.908267378807,10.838712835976862,0.8025414347648621,0.018033263109514704,0.0001,sgd,4,400,0.3,16,0.9707779886148008,0.9705882352941176,0.9718216318785579,0.969639468690702,0.9707068311195446,0.00077478571968981,4,0.8583106267029973,0.8419618528610354,0.8365122615803815,0.8528610354223434,0.8474114441416893,0.008616560381930193,8,0.47100327170283207,0.4740617338556154,0.45418172985433347,0.489354044626324,0.4721501950097763,0.01248807026227746,7
7,100.80515491962433,20.955743045385557,0.7603086829185486,0.003031238828527013,0.01,sgd,4,1600,0,32,0.9718216318785579,0.9655597722960152,0.9721062618595825,0.9738140417457305,0.9708254269449715,0.0031341625539200745,1,0.8705722070844687,0.9012261580381471,0.8399182561307902,0.8726158038147139,0.87108310626703,0.021693672083340054,2,0.4541817298568304,0.5551109809404806,0.44959403662361025,0.4220678772401701,0.47023865616527283,0.050516731519107155,10
56,121.3968898653984,23.475083879401087,0.9021891951560974,0.18506758501696147,0.1,sgd,5,400,0.3,32,0.9707779886148008,0.9719165085388994,0.9722011385199241,0.9685009487666034,0.970849146110057,0.0014565576013134682,3,0.8794277929155313,0.8569482288828338,0.8487738419618529,0.8664850136239782,0.8629087193460492,0.01141262324779732,3,0.4710032717043801,0.4526524987788407,0.4480648055472685,0.5077048175512142,0.4698563483954259,0.0234769345946529,8
61,359.4692505598068,59.32502301160752,0.8530228137969971,0.027274753903140363,0.001,sgd,4,3200,0,16,0.9766603415559773,0.9672675521821632,0.9725806451612903,0.96707779886148,0.9708965844402278,0.0039940566792455254,3,0.8780653950953679,0.829700272479564,0.8501362397820164,0.8453678474114441,0.8508174386920981,0.01745385282741003,6,0.376190944930841,0.5275848215493999,0.44194788123940454,0.5306432837045304,0.469091732856044,0.06437658719296226,8
41,396.6341382265091,88.97675668887362,0.961708128452301,0.016126646968022514,0.1,sgd,6,3200,0.2,16,0.9755218216318785,0.9716318785578748,0.9697343453510436,0.9673624288425048,0.9710626185958254,0.0029859781749252486,3,0.8889645776566758,0.8392370572207084,0.8426430517711172,0.8780653950953679,0.8622275204359674,0.021666917837379354,3,0.39454171785553144,0.45724019200851507,0.48782481354858404,0.5260555904759547,0.4664155784721463,0.04812828153764207,8
43,180.1822110414505,16.27271640354033,0.7875458002090454,0.022061563852641634,0.001,adam,3,3200,0.3,32,0.9738140417457305,0.9697343453510436,0.970303605313093,0.9704933586337761,0.9710863377609107,0.0015994176155107193,2,0.8562670299727521,0.8508174386920981,0.8419618528610354,0.8719346049046321,0.8552452316076294,0.01090450312914313,4,0.42206787723897166,0.4878248135491832,0.47864942708658825,0.47559096493480363,0.46603327070238665,0.025779565953423615,9
57,66.93745255470276,4.344994472738081,0.7410526871681213,0.01908847454363502,0.01,sgd,3,400,0.1,64,0.9713472485768501,0.967931688804554,0.9726755218216319,0.9723908918406072,0.9710863377609109,0.0018872765972042442,2,0.8433242506811989,0.8780653950953679,0.8480926430517711,0.8841961852861036,0.8634196185286104,0.01792278217564425,2,0.4618278852397877,0.5168802040140089,0.4404186501622638,0.4450063433958834,0.46603327070298595,0.03041930452629159,9
48,125.39912569522858,14.290784524211226,0.8045035600662231,0.008981404950387678,0.001,adam,5,1600,0.3,64,0.9721062618595825,0.9691650853889943,0.9717267552182163,0.9718216318785579,0.9712049335863377,0.0011859582542694512,1,0.885558583106267,0.8222070844686649,0.8337874659400545,0.8739782016348774,0.853882833787466,0.02652524178806203,5,0.44959403662695613,0.49700020000903145,0.45571096093112456,0.45418172985708005,0.46412173185604805,0.01911538846091775,10
32,105.36107343435287,8.450437518166815,0.8737180829048157,0.019931870391041915,1e-05,adam,3,400,0,32,0.9722960151802656,0.9704933586337761,0.9713472485768501,0.9721062618595825,0.9715607210626186,0.0007111795232715841,2,0.8583106267029973,0.8467302452316077,0.8807901907356949,0.8685286103542235,0.8635899182561309,0.012573380082617321,1,0.44653557447097664,0.47559096493295583,0.4618278852425341,0.4495940366257076,0.45838711531804355,0.011462859510012146,4
15,252.36517399549484,11.88855009705916,0.76934814453125,0.012333656942305912,0.001,sgd,4,400,0.2,16,0.9705882352941176,0.9717267552182163,0.9726755218216319,0.9718216318785579,0.9717030360531309,0.0007421483798463911,2,0.8944141689373297,0.8739782016348774,0.861716621253406,0.8576294277929155,0.8719346049046321,0.014305177111716638,4,0.4740617338594607,0.45571096093407104,0.4404186501632626,0.45418172985588157,0.456093268703169,0.011962018500648715,9
34,227.73712468147278,52.74304862301715,0.8653699159622192,0.02234842907930036,0.1,sgd,5,800,0.2,16,0.9753320683111955,0.9699240986717268,0.9718216318785579,0.9699240986717268,0.9717504743833016,0.0022081765629766797,1,0.8896457765667575,0.8317438692098093,0.8508174386920981,0.8569482288828338,0.8572888283378746,0.020865713068796452,2,0.3976001800095632,0.4847663513938029,0.4541817298553821,0.4847663513956507,0.4553286531635997,0.035591600835256955,5
