;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_fit__batch_size;param_model__layer_size;param_model__n_hidden_layers;param_optimizer__learning_rate;mean_test_accuracy;mean_train_accuracy;mean_test_ce;mean_train_ce;mean_test_recall;mean_train_recall
66;28.63396704;2.589014364;0.653124988;0.016961215;128;800;3;0.0005;0.963393765;0.979771062;0.590022895;0.326052051;0.850272856;0.907714036
105;59.30711722;7.365797726;0.613866985;0.009191603;64;1600;3;0.002;0.963315442;0.978845096;0.591285304;0.340976867;0.828507121;0.882837766
19;59.02713597;3.422566567;0.673338175;0.007514662;64;1600;3;1.00E-05;0.963236634;0.978373476;0.592555549;0.348578478;0.860047771;0.912568443
33;38.01724529;2.001281987;0.694578588;0.017119907;128;400;5;1.00E-05;0.9630533;0.979203223;0.59551054;0.335204545;0.861485464;0.918281186
51;45.40898603;7.667737357;0.665522456;0.009888493;64;400;3;0.0005;0.962948368;0.980129155;0.597201839;0.320280284;0.864528693;0.921858272
68;41.23643023;13.85322283;0.720184267;0.011010308;128;800;7;0.0005;0.962922141;0.978950002;0.597624575;0.339285987;0.845790089;0.899014685
4;59.76196945;9.442228086;0.711437821;0.022388555;64;200;7;0.0001;0.962896051;0.981806121;0.598045098;0.293250775;0.877659557;0.934614246
17;57.45982575;3.080811629;0.743847847;0.005637127;64;800;7;1.00E-05;0.962869955;0.980155253;0.598465709;0.319859634;0.87109192;0.926127762
41;38.48069584;1.631258032;0.738226414;0.00545214;128;800;7;1.00E-05;0.962869925;0.978303559;0.598466196;0.349705406;0.862926848;0.915345501
26;33.23828244;4.392620079;0.69408381;0.006700107;128;200;5;0.0001;0.962869895;0.982076858;0.598466683;0.288887013;0.855721364;0.923138704
86;42.28826672;9.390310399;0.692647338;0.007931304;128;200;7;0.001;0.962869755;0.982469969;0.598468941;0.282550811;0.874775354;0.936429733
36;27.1453203;2.176033725;0.653480887;0.01519549;128;800;3;0.0001;0.962869716;0.979797247;0.59846956;0.325629998;0.87830048;0.929543007
101;76.66132915;10.76011459;0.667308211;0.006319935;64;400;7;0.002;0.962791081;0.979343062;0.599737016;0.332950607;0.871577406;0.918867983
48;45.97539294;6.337536543;0.676400304;0.042238016;64;200;3;0.0005;0.962738944;0.97930801;0.600577353;0.333515578;0.856368131;0.911874306
79;46.3672657;2.943631141;0.66635114;0.022069346;64;800;5;0.001;0.962450586;0.977735869;0.605225148;0.358855495;0.838263171;0.891487186
47;59.05339134;5.191755504;0.733290315;0.002839906;128;1600;7;1.00E-05;0.962345896;0.978932419;0.606912551;0.339569385;0.871416124;0.921323092
2;58.75154513;12.72371521;0.69705379;0.031362142;64;200;5;0.0001;0.962293408;0.982609708;0.607758555;0.280298491;0.87253638;0.935575203
111;31.28479028;1.964911382;0.621109545;0.014489491;128;400;3;0.002;0.962188592;0.980233904;0.609447994;0.318591927;0.848038496;0.909526764
109;34.0357458;7.75855722;0.640655637;0.010995171;128;200;5;0.002;0.962031471;0.97924686;0.611980471;0.3345012;0.846111627;0.907606788
34;31.74440807;2.572804028;0.745175004;0.007749917;128;400;7;0.0001;0.961978923;0.979928211;0.612827448;0.323519107;0.874935508;0.929063526
102;45.6429165;7.344376823;0.632609487;0.008452921;64;800;3;0.002;0.961847948;0.977080776;0.614938517;0.369414335;0.853156854;0.900079778
32;31.68373859;4.536877259;0.693097115;0.005602089;128;400;5;0.0001;0.961638233;0.979928249;0.618318723;0.323518506;0.885663656;0.931412471
23;79.51468867;2.217840304;0.74865216;0.016072298;64;1600;7;1.00E-05;0.96150725;0.976259755;0.620429925;0.382647642;0.868531101;0.915239039
21;66.4297666;1.805190773;0.783225834;0.140653069;64;1600;5;1.00E-05;0.961402436;0.974687554;0.62211932;0.407988523;0.866128897;0.910542108
112;28.77938539;1.218463339;0.650151014;0.020026731;128;400;5;0.002;0.96134994;0.977744619;0.622965456;0.35871446;0.827382764;0.886788339
117;44.19398451;7.640459493;0.615166843;0.018422796;128;1600;3;0.002;0.961245305;0.979919461;0.624651974;0.323660142;0.864049769;0.918601174
80;78.4189961;21.72835606;0.696194112;0.004556086;64;800;7;0.001;0.961245278;0.978190043;0.624652416;0.351535068;0.837948707;0.890098844
45;48.30706787;3.49956295;0.702787578;0.006348413;128;1600;5;1.00E-05;0.960852287;0.976015105;0.630986685;0.386590926;0.86773146;0.918494576
