"Constant","affectedSubdomains,rhoMin,rhoMax,indexShiftx,indexShifty","6,10,1,1000000,0,0,,,"
"Constant","affectedSubdomains,rhoMin,rhoMax,indexShiftx,indexShifty","6,10,1000,1,0,0,,,"
"Constant","affectedSubdomains,rhoMin,rhoMax,indexShiftx,indexShifty","6,10,1000000,1000,0,0,,,"
"Strip","height,nStrips,rhoMin,rhoMax,indexShifty","2,5,1000,1,18,,,,"
"Blocks","height,rhoMin,rhoMax,dif,prop1,prop2,indexShiftx,indexShifty","34,1000,1000,0,0.4,1,16,18,"
"Random Blocks","nBlocks,height,heightVariance,width,widthVariance,rhoMin,rhoMax,indexShiftx,indexShifty","20,8,1,3,4,1000,1000,0,16"
"Completely Random","randomPercentage,randomState,rhoMin,rhoMax,indexShiftx,indexShifty","0.45,8,1000,1,20,16,,,"
